,postag
350,"[('aplikasi', 'NN'), ('orang', 'NN'), ('kelas', 'NN'), ('tibang', 'NN'), ('na', 'NN'), ('obat', 'NN'), ('bayar', 'VB'), ('sunguh', 'VB'), ('miris', 'NN'), ('negeri', 'NN'), ('ktika', 'SC'), ('orang', 'NN'), ('pintar', 'IN'), ('anugerah', 'NN'), ('membantu', 'VB'), ('ihklas', 'NN'), ('seakan', 'VB'), ('uwang', 'NN'), ('kuasa', 'NN'), ('tuhan', 'NN')]"
351,"[('membantu', 'VB'), ('memfasilitasi', 'NN'), ('pendaftara', 'NN'), ('vaksinasi', 'NN'), ('covid', 'NN'), ('lanjut', 'VB'), ('usia', 'NN'), ('apotek', 'NN'), ('sat', 'NN'), ('butuh', 'VB'), ('obat', 'NN'), ('malas', 'NN'), ('rumah', 'NN')]"
352,"[('mantap', 'NN'), ('kemarin', 'NN'), ('putus', 'NN'), ('koneksi', 'NN'), ('chat', 'VB'), ('dokter', 'NN'), ('ulasan', 'NN'), ('bintang', 'NN'), ('lansung', 'NN'), ('ditelpon', 'FW'), ('halodoc', 'FW'), ('dikembalikan', 'VB'), ('uang', 'NN'), ('mantap', 'RB')]"
353,"[('membantu', 'VB'), ('diresepkan', 'VB'), ('dokter', 'NN'), ('obat', 'NN'), ('dikirim', 'FW'), ('daring', 'FW'), ('terima', 'FW'), ('kasih', 'FW'), ('halodoc', 'FW')]"
354,"[('alhamdulilah', 'NN'), ('sat', 'NN'), ('pandemi', 'NN'), ('sat', 'NN'), ('halodoc', 'FW'), ('membantu', 'VB'), ('terima', 'CD'), ('kasih', 'NN'), ('sukses', 'JJ')]"
355,"[('membantu', 'VB'), ('respon', 'NN'), ('cepat', 'JJ'), ('terima', 'VB'), ('kasih', 'MD')]"
356,"[('sngt', 'NN'), ('terbntu', 'RB'), ('skli', 'VB'), ('aplikasi', 'NN'), ('maju', 'NN'), ('halo', 'FW'), ('doc', 'FW')]"
357,"[('halo', 'NN'), ('kak', 'NN'), ('alamat', 'NN'), ('map', 'VB'), ('mencantumkan', 'VB'), ('alamat', 'NN'), ('manual', 'JJ'), ('kak', 'VB')]"
358,"[('aplikasi', 'NN'), ('ketiga', 'OD'), ('apotek', 'NN'), ('toko', 'NN'), ('online', 'FW'), ('sedia', 'NN'), ('barang', 'NN'), ('kondisi', 'NN'), ('edisi', 'NN'), ('th', 'NN'), ('beli', 'VB'), ('langsung', 'RB'), ('apotek', 'NN'), ('halodoc', 'NN'), ('gojek', 'NN'), ('dikasih', 'NN'), ('obat', 'NN'), ('edisi', 'NN'), ('enam', 'CD')]"
359,"[('respon', 'NN'), ('dokter', 'NN'), ('cepat', 'JJ')]"
360,"[('bagus', 'JJ'), ('antre', 'FW'), ('rumah', 'NN'), ('sakit', 'JJ')]"
361,"[('profesional', 'JJ'), ('cepat', 'JJ'), ('tangap', 'VB')]"
362,"[('membantu', 'VB'), ('mudah', 'JJ')]"
363,"[('aplikasi', 'NN'), ('membantu', 'VB'), ('vet', 'NN'), ('dokter', 'NN'), ('suci', 'JJ'), ('dokter', 'NN'), ('hewan', 'NN'), ('ramah', 'NN'), ('konsultasi', 'NN'), ('dokter', 'NN'), ('suci', 'JJ')]"
364,"[('kali', 'NN'), ('mengunakan', 'VB'), ('halodoc', 'NN'), ('membantu', 'VB'), ('terima', 'CD'), ('kasih', 'NN'), ('halodoc', 'FW')]"
365,"[('thanks', 'FW'), ('halodoc', 'FW'), ('membantu', 'FW'), ('mendapt', 'FW'), ('resep', 'FW'), ('pergi', 'VB'), ('dokter', 'NN')]"
366,"[('pengalaman', 'NN'), ('mengunakan', 'VB'), ('aplikasi', 'NN'), ('bagus', 'JJ'), ('semoga', 'SC'), ('bermanfat', 'VB'), ('membantu', 'VB'), ('menyembuhkan', 'VB')]"
367,"[('mudah', 'JJ'), ('berkonsultasi', 'NN'), ('dokter', 'NN')]"
368,"[('nomor', 'NN'), ('telepon', 'NN'), ('genggam', 'NN'), ('muncul', 'VB'), ('otentikasi', 'NN'), ('nomor', 'NN'), ('telepon', 'NN'), ('genggam', 'NN'), ('tolong', 'VB'), ('tim', 'NN'), ('it', 'FW'), ('back', 'FW'), ('end', 'FW'), ('diperbaiki', 'VB'), ('iya', 'NN'), ('terima', 'VB'), ('kasih', 'MD')]"
369,"[('menolong', 'VB'), ('aplikasi', 'NN'), ('sat', 'NN'), ('darurat', 'NN'), ('anak', 'NN'), ('anak', 'NN'), ('ditingal', 'VB'), ('rumah', 'NN'), ('terima', 'VB'), ('kasih', 'NN'), ('halodoc', 'FW')]"
370,"[('aplikasi', 'NN'), ('pintar', 'NN'), ('membantu', 'VB'), ('dimasa', 'NN'), ('pandemi', 'NN'), ('antre', 'FW'), ('apotek', 'FW'), ('apotek', 'FW'), ('antre', 'FW'), ('dikasir', 'FW'), ('apotek', 'FW'), ('tingal', 'FW'), ('pakai', 'FW'), ('gopay', 'FW'), ('terima', 'FW'), ('kasih', 'FW'), ('halodoc', 'FW')]"
371,"[('halodoc', 'NN'), ('sistem', 'NN'), ('pembayaran', 'NN'), ('pakai', 'VB'), ('gopay', 'FW'), ('kasih', 'NN'), ('pembayaran', 'NN'), ('lakukan', 'VB'), ('indomaretatau', 'CC'), ('alfamaret', 'FW')]"
372,"[('terima', 'CD'), ('kasih', 'NN'), ('halodoc', 'FW'), ('mempermudah', 'VB'), ('berobat', 'NN'), ('klinik', 'NN'), ('dimasa', 'NN'), ('pandemi', 'JJ')]"
373,"[('membantu', 'VB'), ('sebenar', 'NN'), ('pengiriman', 'NN'), ('ongkos', 'NN'), ('mahal', 'JJ'), ('mengunakan', 'VB'), ('kurir', 'NN'), ('reguler', 'JJ'), ('tarif', 'NN'), ('sepuluh', 'CD'), ('ribu', 'CD'), ('kena', 'SC'), ('ribu', 'CD')]"
374,"[('uang', 'NN'), ('habis', 'VB'), ('puluh', 'CD'), ('ribu', 'CD'), ('konsultasi', 'NN'), ('resep', 'NN'), ('dicuekin', 'RB'), ('sam', 'VB'), ('dokter', 'NN'), ('posisi', 'NN'), ('sakit', 'JJ')]"
375,"[('mempermudah', 'VB'), ('konsultasi', 'NN'), ('janji', 'NN'), ('dokter', 'NN'), ('lingkungan', 'NN'), ('tingal', 'JJ')]"
376,"[('kali', 'NN'), ('beli', 'VB'), ('obat', 'NN'), ('halodoc', 'NN'), ('kali', 'NN'), ('disertaka', 'SC'), ('nota', 'NN'), ('pembelian', 'NN')]"
377,"[('metode', 'NN'), ('pembayaran', 'NN'), ('menyulitakan', 'VB'), ('kenpa', 'IN'), ('tertawa', 'NN'), ('go', 'FW'), ('pay', 'FW'), ('isi', 'NN'), ('saldo', 'NN'), ('pakai', 'VB'), ('debit', 'NN'), ('teratas', 'NN'), ('up', 'FW'), ('rekening', 'FW'), ('bank', 'FW'), ('dam', 'FW'), ('sejis', 'FW'), ('pdahal', 'FW'), ('hapy', 'FW'), ('hewan', 'NN'), ('dsni', 'PR')]"
378,"[('dokter', 'NN'), ('ramah', 'JJ')]"
379,"[('terbaik', 'JJ'), ('sih', 'VB'), ('menurutku', 'NN'), ('andalan', 'NN'), ('diriku', 'NN'), ('gasuka', 'VB'), ('belanja', 'NN'), ('apotek', 'NN'), ('zaman', 'NN'), ('pandemi', 'NN'), ('aman', 'JJ'), ('beli', 'VB'), ('daring', 'FW')]"
380,"[('dokter', 'NN'), ('bagus', 'JJ'), ('respon', 'NN'), ('cepat', 'JJ')]"
381,"[('terima', 'CD'), ('kasih', 'NN'), ('halodoc', 'FW'), ('terkhusus', 'FW'), ('wid', 'FW'), ('patria', 'FW'), ('sp', 'FW'), ('s', 'FW'), ('sabar', 'FW'), ('ramah', 'NN'), ('mendengarkan', 'VB'), ('konsultasi', 'NN'), ('pasien', 'NN')]"
382,"[('tidak', 'NEG'), ('bisa', 'MD'), ('disambung', 'VB'), ('gopay', 'FW'), ('iya', 'X')]"
383,"[('instal', 'NN'), ('kak', 'NN'), ('iya', 'NN'), ('sambung', 'NN'), ('gopay', 'FW'), ('tulisan', 'NN'), ('nomor', 'NN'), ('terdaftar', 'IN'), ('nomor', 'NN'), ('gopay', 'FW'), ('terverifikasi', 'NN'), ('edit', 'NN'), ('bintang', 'NN'), ('terima', 'VB'), ('kasih', 'MD'), ('kak', 'VB')]"
384,"[('na', 'NN'), ('konsulatau', 'CC'), ('chat', 'VB'), ('doctor', 'NN'), ('kenakan', 'VB'), ('tarif', 'NN'), ('iya', 'NN'), ('tarif', 'NN'), ('seratus', 'JJ')]"
385,"[('alhamdulilah', 'NN'), ('pelayanan', 'NN'), ('cepat', 'JJ'), ('dokter', 'NN'), ('ramah', 'NN'), ('harga', 'NN'), ('obat', 'NN'), ('jangkau', 'NN')]"
386,"[('membantu', 'VB'), ('musim', 'NN'), ('pandemi', 'JJ')]"
387,"[('oke', 'NN'), ('bagus', 'JJ'), ('konsultasi', 'NN'), ('kehamilan', 'NN'), ('istri', 'NN'), ('semoga', 'NN'), ('berkah', 'NN'), ('sehat', 'JJ'), ('iya', 'PRP'), ('amin', 'VB')]"
388,"[('aplikasi', 'NN'), ('membantu', 'VB')]"
389,"[('membantu', 'VB'), ('semoga', 'NN'), ('resep', 'NN'), ('obat', 'NN'), ('berkhasiat', 'NN'), ('kesembuhan', 'NN'), ('anak', 'NN'), ('terimaksih', 'NN'), ('halodoc', 'FW')]"
390,"[('slow', 'FW'), ('respon', 'FW'), ('admin', 'FW'), ('uang', 'NN'), ('cepat', 'JJ'), ('keluhan', 'NN'), ('kendala', 'NN'), ('lambat', 'JJ'), ('parah', 'JJ')]"
391,"[('harga', 'NN'), ('bagus', 'JJ'), ('sayang', 'NN'), ('overload', 'FW'), ('slow', 'FW'), ('respon', 'FW'), ('ditelpon', 'FW'), ('customer', 'FW'), ('service', 'FW'), ('susah', 'JJ'), ('masuk', 'VB'), ('hasil', 'NN'), ('rapid', 'NN'), ('antigen', 'NN'), ('jam', 'NN'), ('jam', 'NN')]"
392,"[('bagus', 'JJ'), ('pelayanan', 'NN'), ('ramah', 'JJ')]"
393,"[('respon', 'NN'), ('costumer', 'FW'), ('servies', 'FW'), ('iya', 'NN'), ('lambat', 'JJ'), ('lambat', 'JJ'), ('solusi', 'NN'), ('bermasalah', 'VB'), ('aplikasi', 'NN'), ('halodok', 'NN'), ('iya', 'NN'), ('singkron', 'NNP')]"
394,"[('konsultasi', 'NN'), ('bayar', 'VB'), ('pakai', 'VB'), ('gopay', 'FW'), ('gagal', 'JJ'), ('konsultasi', 'NN'), ('menu', 'FW'), ('direfund', 'FW'), ('konsultasi', 'NN')]"
395,"[('aplikasi', 'NN'), ('keren', 'NN'), ('membantu', 'VB')]"
396,"[('auntik', 'NN'), ('vaksin', 'NN'), ('mandiri', 'NN'), ('kusus', 'JJ'), ('lanjut', 'VB'), ('usia', 'NN'), ('umur', 'NN'), ('aplikasi', 'NN')]"
397,"[('suka', 'VB'), ('pakai', 'VB'), ('aplikasi', 'NN'), ('konsultasi', 'NN'), ('murah', 'JJ'), ('rumah', 'NN'), ('sakit', 'JJ')]"
398,"[('konsultasi', 'NN'), ('beli', 'VB'), ('obat', 'NN'), ('halodoc', 'NN'), ('mudah', 'JJ'), ('aplikasi', 'NN'), ('report', 'NN'), ('konsultasi', 'NN'), ('beli', 'VB'), ('obat', 'NN'), ('tungu', 'NN'), ('rumah', 'NN'), ('deh', 'JJ')]"
399,"[('aplikasi', 'NN'), ('halodoc', 'FW'), ('membantu', 'VB')]"
400,"[('pelayanan', 'NN'), ('bagus', 'JJ'), ('puas', 'JJ')]"
401,"[('bagus', 'JJ'), ('mudahin', 'NN'), ('cek', 'NN'), ('toko', 'NN'), ('daerah', 'NN')]"
402,"[('kondisi', 'NN'), ('sulit', 'JJ'), ('rumah', 'NN'), ('halodoc', 'FW'), ('membantu', 'VB'), ('terima', 'CD'), ('kasih', 'MD'), ('barakalah', 'VB')]"
403,"[('ok', 'NN'), ('memudahkan', 'VB'), ('membantu', 'VB')]"
404,"[('mantap', 'RB'), ('membantu', 'VB'), ('terima', 'CD'), ('kasih', 'NN'), ('halodoc', 'NN'), ('mudah', 'JJ'), ('mudahan', 'NN'), ('berkembang', 'VB')]"
405,"[('layanan', 'NN'), ('dokter', 'NN'), ('cepat', 'JJ'), ('respon', 'NN'), ('komunikasi', 'NN'), ('terima', 'VB'), ('terima', 'CD'), ('kasih', 'MD')]"
406,"[('membantu', 'VB'), ('sat', 'NN'), ('pandemi', 'JJ')]"
407,"[('pesan', 'NN'), ('obat', 'NN'), ('cepat', 'JJ'), ('membantu', 'VB'), ('disetiap', 'CD'), ('kondisi', 'NN')]"
408,"[('halo', 'NN'), ('dok', 'NN'), ('terlambat', 'NN'), ('postif', 'JJ'), ('hamil', 'FW'), ('mohon', 'FW'), ('petunjuk', 'FW'), ('dok', 'FW')]"
409,"[('aplikasi', 'NN'), ('mudah', 'JJ'), ('dn', 'NN'), ('membantu', 'VB'), ('semoga', 'NN'), ('responsif', 'JJ'), ('melayani', 'VB'), ('sat', 'NN'), ('konsultasi', 'NN'), ('terima', 'VB'), ('kasih', 'NN'), ('halodoc', 'FW')]"
410,"[('apotek', 'NN'), ('toko', 'NN'), ('beli', 'VB'), ('barang', 'NN'), ('harga', 'NN'), ('puluh', 'CD'), ('nol', 'NN'), ('beli', 'VB'), ('enam', 'CD'), ('puluh', 'CD'), ('nol', 'NN'), ('ajar', 'VB')]"
411,"[('dokter', 'NN'), ('ramah', 'NN'), ('komunikatif', 'JJ')]"
412,"[('terima', 'CD'), ('kasih', 'MD'), ('dok', 'VB'), ('resep', 'NN')]"
413,"[('mantap', 'NN'), ('pokok', 'NN'), ('musim', 'NN'), ('anak', 'NN'), ('sakit', 'NN'), ('mudah', 'JJ'), ('nanganin', 'NNP'), ('terima', 'VB'), ('kasih', 'MD')]"
414,"[('membantu', 'VB'), ('mobile', 'FW'), ('dimasa', 'NN'), ('pandemi', 'NN'), ('ke', 'IN'), ('depan', 'NN'), ('semoga', 'SC'), ('pilih', 'VB'), ('apotek', 'NN')]"
415,"[('aplikasi', 'NN'), ('freze', 'NN'), ('telepon', 'NN'), ('genggam', 'NN'), ('masuk', 'VB'), ('tampilan', 'NN'), ('aplikasi', 'NN'), ('redmi', 'NN'), ('note', 'NN'), ('delapan', 'CD'), ('mohon', 'NND'), ('bantuan', 'NN')]"
416,"[('bayar', 'VB'), ('iklan', 'NN'), ('gratis', 'JJ')]"
417,"[('kak', 'NEG'), ('masuk', 'VB'), ('kalender', 'NN'), ('kehamilan', 'NN'), ('menu', 'NN'), ('iya', 'PRP')]"
418,"[('proses', 'NN'), ('apotek', 'NN')]"
419,"[('membantu', 'VB'), ('tolong', 'VB'), ('mhl', 'NN'), ('mhl', 'NN'), ('konsultasi', 'NN'), ('pasien', 'NN'), ('butuh', 'VB'), ('bantuan', 'NN'), ('konsultasi', 'NN')]"
420,"[('asli', 'JJ'), ('bagus', 'JJ'), ('jam', 'NN'), ('malam', 'NN'), ('mencari', 'VB'), ('obat', 'NN'), ('pilek', 'NN'), ('anak', 'NN'), ('langsung', 'RB'), ('pakai', 'VB'), ('gojek', 'NN')]"
421,"[('suka', 'VB'), ('aplikasi', 'NN'), ('membantu', 'VB')]"
422,"[('memudahkan', 'VB'), ('berkonsultasi', 'NN'), ('dokter', 'NN'), ('membeli', 'VB'), ('obat', 'NN'), ('memudahkan', 'VB'), ('aplikasi', 'NN'), ('bagus', 'JJ')]"
423,"[('halo', 'FW'), ('doc', 'FW'), ('gatal', 'FW'), ('bintik', 'NN'), ('kmudian', 'NN'), ('nanah', 'NN'), ('selangkangan', 'NN'), ('paha', 'NN'), ('petunjuk', 'NN'), ('doc', 'FW')]"
424,"[('penguna', 'SC'), ('eh', 'VB'), ('kali', 'NN'), ('pas', 'NN'), ('kali', 'NN'), ('bagus', 'JJ'), ('terima', 'VB'), ('kasih', 'NN'), ('penilaian', 'NN'), ('berubah', 'VB'), ('bagus', 'JJ'), ('pelayanan', 'NN')]"
425,"[('alhamdulilah', 'NN'), ('dapetin', 'NN'), ('obat', 'NN'), ('repot', 'NN'), ('apotek', 'NN'), ('terima', 'VB'), ('kasih', 'NN'), ('konsultasi', 'NN'), ('dokter', 'NN'), ('lancar', 'JJ'), ('cepat', 'JJ')]"
426,"[('mudah', 'JJ'), ('informasi', 'NN'), ('lengkap', 'VB')]"
427,"[('teratas', 'NN'), ('membantu', 'VB'), ('terima', 'CD'), ('kasih', 'MD')]"
428,"[('akun', 'FW'), ('halodoc', 'FW'), ('tersambung', 'FW'), ('gopay', 'FW'), ('saldo', 'FW'), ('gopay', 'FW'), ('isi', 'NN'), ('mohon', 'RB'), ('diperbaiki', 'VB')]"
429,"[('bagus', 'JJ'), ('referensi', 'NN'), ('kesehatan', 'NN')]"
430,"[('terima', 'CD'), ('kasih', 'NN'), ('halodoc', 'FW'), ('dokter', 'FW'), ('ramah', 'JJ')]"
431,"[('respon', 'NN'), ('dokter', 'NN'), ('chat', 'VB'), ('cepat', 'JJ'), ('dibalas', 'VB'), ('konsultasi', 'NN'), ('di', 'IN'), ('mana', 'NN'), ('mudah', 'JJ')]"
432,"[('cepat', 'JJ'), ('penanganan', 'NN'), ('mantap', 'RB')]"
433,"[('he', 'IN'), ('iya', 'NN'), ('pembayaran', 'NN'), ('debit', 'NN'), ('bni', 'PR'), ('suport', 'VB'), ('terpaksa', 'VB'), ('pakai', 'NN'), ('mandiri', 'JJ')]"
434,"[('kali', 'NN'), ('mengunakan', 'VB'), ('aplikasi', 'NN'), ('halodoc', 'NN'), ('cepat', 'JJ'), ('respon', 'NN'), ('pelayanan', 'NN'), ('cepat', 'JJ'), ('sukses', 'JJ')]"
435,"[('aplikasi', 'NN'), ('rongsokan', 'VB'), ('cari', 'VB'), ('obat', 'NN'), ('driver', 'NN'), ('gojek', 'NN'), ('diarahkan', 'VB'), ('apotek', 'NN'), ('tutup', 'VB')]"
436,"[('konsultasi', 'NN'), ('tht', 'NN'), ('sih', 'NN'), ('langsung', 'RB'), ('direspon', 'VB'), ('dikasih', 'NN'), ('resep', 'NN'), ('bagus', 'JJ'), ('semoga', 'SC'), ('lekas', 'VB'), ('sembuh', 'VB')]"
437,"[('dokter', 'NN'), ('merespon', 'NN'), ('cepat', 'JJ'), ('detail', 'NN'), ('konsultasi', 'NN')]"
438,"[('dokter', 'NN'), ('nyaman', 'NN'), ('konsultasi', 'NN'), ('semoga', 'SC'), ('perbarui', 'VB')]"
439,"[('oke', 'NN'), ('mantap', 'RB'), ('susah', 'VB'), ('berobat', 'NN'), ('kali', 'NN'), ('mengunakan', 'VB'), ('aplikasi', 'NN')]"
440,"[('aplikasi', 'NN'), ('bagus', 'JJ'), ('membantu', 'VB'), ('beli', 'VB'), ('obat', 'NN'), ('muter', 'NN'), ('muter', 'NN'), ('cari', 'VB'), ('apotek', 'NN'), ('terima', 'VB'), ('kasih', 'MD')]"
441,"[('halodoc', 'MD'), ('membantu', 'VB'), ('sehat', 'JJ'), ('penanganan', 'NN'), ('cepat', 'JJ'), ('mudah', 'JJ'), ('diakses', 'NN'), ('terima', 'VB'), ('kasih', 'MD')]"
442,"[('membantu', 'VB'), ('mudah', 'JJ'), ('mudah', 'JJ'), ('konsultasi', 'NN'), ('halodoc', 'FW'), ('sembuh', 'VB')]"
443,"[('aplikasi', 'NN'), ('pelan', 'NN'), ('nangapin', 'NN')]"
444,"[('disat', 'NN'), ('darurat', 'NN'), ('bisadiandalkan', 'VB')]"
445,"[('terlambat', 'NN'), ('brpa', 'NN'), ('menit', 'NN'), ('langsung', 'RB'), ('dibatalkan', 'VB'), ('jadwal', 'NN'), ('konsultasi', 'NN'), ('uang', 'NN'), ('pengembalian', 'NN'), ('dana', 'NN'), ('chat', 'VB'), ('bot', 'FW'), ('customer', 'FW'), ('service', 'FW'), ('payah', 'FW'), ('ngrespon', 'FW')]"
446,"[('trimaksh', 'MD'), ('halodok', 'VB'), ('saran', 'NN'), ('resep', 'NN'), ('terbagus', 'NN'), ('iya', 'NN'), ('tatap', 'RB'), ('muka', 'VB'), ('dokter', 'NN')]"
447,"[('membantu', 'VB'), ('konsultasi', 'NN'), ('obat', 'NN'), ('langsung', 'RB'), ('diterima', 'VB'), ('terima', 'CD'), ('kasih', 'NN'), ('halo', 'NN'), ('dokter', 'NN')]"
448,"[('bagus', 'JJ'), ('dokter', 'NN'), ('kali', 'NN'), ('pakai', 'VB'), ('kaget', 'NN'), ('langsung', 'RB'), ('beli', 'VB'), ('obat', 'NN'), ('pakai', 'VB'), ('gojek', 'NN'), ('keren', 'NN'), ('sih', 'NN'), ('membantu', 'VB')]"
449,"[('bagus', 'JJ'), ('layanan', 'NN'), ('customer', 'FW'), ('service', 'FW'), ('respon', 'FW'), ('cepat', 'JJ'), ('tolong', 'VB'), ('aplikasi', 'NN'), ('pelan', 'NN'), ('tertawa', 'VB'), ('dokter', 'NN'), ('mengunakan', 'VB'), ('asuransi', 'NN'), ('diterukan', 'VB')]"
450,"[('bermanfat', 'VB'), ('kesehatan', 'NN')]"
451,"[('dimudahkan', 'VB'), ('membeli', 'VB'), ('obat', 'NN')]"
452,"[('membantu', 'VB'), ('konsultasi', 'NN'), ('dokter', 'NN'), ('pelayanan', 'NN'), ('ramah', 'NN'), ('membantu', 'VB'), ('solusi', 'NN')]"
453,"[('mudah', 'JJ'), ('cepat', 'JJ'), ('informasinya', 'RB')]"
454,"[('halodoc', 'FW'), ('mantap', 'FW'), ('konsultasi', 'NN'), ('dokter', 'NN'), ('cepat', 'JJ'), ('respon', 'NN'), ('ramah', 'NN'), ('terima', 'VB'), ('kasih', 'MD')]"
455,"[('mantap', 'RB'), ('membantu', 'VB'), ('seumpama', 'NN'), ('rumah', 'NN'), ('sakit', 'JJ'), ('puskesmas', 'VB')]"
456,"[('puas', 'JJ'), ('pelayanan', 'NN'), ('halodoc', 'FW'), ('terima', 'VB'), ('kasih', 'MD'), ('membantu', 'VB')]"
457,"[('kali', 'NN'), ('mengunakan', 'VB'), ('aplikasi', 'NN'), ('konsultasi', 'NN'), ('anga', 'NN'), ('mintarsa', 'NN'), ('terima', 'VB'), ('kasih', 'NN'), ('dokter', 'NN')]"
458,"[('aplikasi', 'NN'), ('membantu', 'VB'), ('sat', 'NN'), ('berkonsultasi', 'NN'), ('kesehatan', 'NN')]"
459,"[('membantu', 'VB'), ('solusi', 'NN'), ('dokter', 'NN'), ('terpercaya', 'NN'), ('pengalaman', 'NN'), ('okeh', 'JJ')]"
460,"[('membantu', 'VB')]"
461,"[('penjelasan', 'NN'), ('dokter', 'NN')]"
462,"[('aplikasi', 'NN'), ('terbaik', 'JJ')]"
463,"[('membantu', 'VB'), ('cocok', 'NN'), ('resep', 'NN'), ('dokter', 'NN'), ('terima', 'VB'), ('kasih', 'MD')]"
464,"[('aplikasi', 'NN'), ('membantu', 'VB')]"
465,"[('penjelasan', 'NN'), ('detail', 'NN'), ('sehinga', 'NN'), ('gdn', 'NN'), ('mudah', 'JJ'), ('mengeti', 'VB')]"
466,"[('bermanfat', 'VB'), ('orang', 'NN')]"
467,"[('bismilah', 'NN'), ('semoga', 'SC'), ('bermanfat', 'VB')]"
468,"[('cepat', 'JJ'), ('keluhan', 'NN'), ('pasien', 'NN')]"
469,"[('dokter', 'NN'), ('komunikatif', 'JJ'), ('ramah', 'NN'), ('sabar', 'NN'), ('pertanyan', 'NN'), ('saran', 'NN'), ('secara', 'IN'), ('keseluruhan', 'NN'), ('oke', 'NN'), ('terima', 'VB'), ('kasih', 'NN'), ('dokter', 'NN')]"
470,"[('membantu', 'VB'), ('era', 'NN'), ('pandemi', 'NN'), ('semoga', 'SC'), ('ditingkatkan', 'VB'), ('layanan', 'NN')]"
471,"[('dokter', 'NN'), ('cepat', 'JJ'), ('obat', 'NN'), ('kasi', 'NN'), ('obat', 'NN'), ('terbaik', 'JJ'), ('langanan', 'NN')]"
472,"[('parah', 'NN'), ('konsultasi', 'NN'), ('bayar', 'VB'), ('indonesia', 'NN'), ('merdeka', 'PRP'), ('mapia', 'NN'), ('kaya', 'JJ')]"
473,"[('terima', 'CD'), ('kasih', 'MD'), ('membantu', 'VB')]"
474,"[('pemesanan', 'NN'), ('bisax', 'FW'), ('notif', 'JJ'), ('salah', 'JJ'), ('coba', 'VB')]"
475,"[('bagus', 'JJ'), ('semoga', 'SC')]"
476,"[('mengakses', 'NN'), ('akun', 'NN'), ('nomor', 'NN'), ('telepon', 'NN'), ('hilang', 'VB'), ('mohon', 'NN'), ('bantuanya', 'RB')]"
477,"[('terbantu', 'VB'), ('halo', 'FW'), ('doc', 'FW'), ('kerumah', 'NN'), ('sakit', 'JJ'), ('alhamdulilah', 'MD'), ('sembuh', 'VB'), ('sakit', 'JJ')]"
478,"[('ribet', 'FW'), ('apotek', 'FW'), ('halodoc', 'FW'), ('pakai', 'FW'), ('halodoc', 'FW'), ('puas', 'JJ'), ('rumah', 'NN')]"
479,"[('arahkan', 'VB'), ('pembelian', 'NN'), ('obat', 'NN'), ('apotek', 'NN'), ('terdekat', 'NN'), ('rumah', 'NN'), ('pasien', 'NN'), ('terima', 'VB'), ('kasih', 'MD')]"
480,"[('aplikasi', 'NN'), ('membantu', 'VB'), ('sat', 'NN'), ('pandemik', 'JJ'), ('manfat', 'VB'), ('saskit', 'NN'), ('gejala', 'NN'), ('ringan', 'JJ')]"
481,"[('tolong', 'VB'), ('filter', 'NN'), ('berdasarkan', 'VB'), ('wilayah', 'NN'), ('praktik', 'NN'), ('cek', 'NN')]"
482,"[('kali', 'NN'), ('pakai', 'VB'), ('halodoc', 'NN'), ('lumayan', 'NN'), ('tenang', 'NN'), ('konsultasi', 'NN'), ('dokter', 'NN')]"
483,"[('keren', 'NN'), ('sih', 'NN'), ('pakai', 'VB'), ('asuransi', 'NN')]"
484,"[('membantu', 'VB'), ('pandemi', 'NN'), ('rumah', 'NN'), ('konsultasi', 'NN')]"
485,"[('halo', 'NN'), ('dock', 'NN'), ('rutin', 'NN'), ('periksa', 'VB'), ('tangal', 'NN'), ('tentukan', 'VB'), ('sesuai', 'JJ'), ('kehamilan', 'NN'), ('perbulan', 'NN'), ('mohon', 'NN'), ('kebijakan', 'NN'), ('dockter', 'NN')]"
486,"[('kali', 'NND'), ('konsultasi', 'NN'), ('suka', 'VB')]"
487,"[('pengemasan', 'NN'), ('cepat', 'JJ'), ('pengiriman', 'NN'), ('cepat', 'JJ'), ('kepepet', 'NN'), ('malam', 'NN'), ('malam', 'NN'), ('butuh', 'VB'), ('obat', 'NN'), ('kalah', 'NN'), ('cepat', 'JJ'), ('terima', 'VB'), ('kasih', 'NN'), ('halodoc', 'FW')]"
488,"[('bermanfat', 'VB'), ('efisien', 'NN'), ('tenaga', 'NN'), ('biaya', 'NN'), ('thanks', 'NN'), ('iya', 'PRP')]"
489,"[('dokter', 'NN'), ('ramah', 'NN'), ('solusi', 'NN'), ('sesuai', 'JJ'), ('kondisi', 'NN'), ('konsultasi', 'NN')]"
490,"[('membantu', 'VB'), ('sat', 'NN'), ('pandemi', 'NN'), ('chat', 'VB'), ('dokter', 'NN'), ('cepat', 'JJ'), ('direspon', 'NN'), ('profesional', 'JJ')]"
491,"[('mantap', 'RB'), ('membantu', 'VB')]"
492,"[('membantu', 'VB'), ('cepat', 'JJ'), ('kondisi', 'NN'), ('mendesak', 'VB'), ('pasien', 'NN'), ('pu', 'NN'), ('datangke', 'NN'), ('rumah', 'NN'), ('sakit', 'JJ')]"
493,"[('membantu', 'VB'), ('sat', 'NN'), ('kondisi', 'NN'), ('mendadak', 'RB'), ('mendesak', 'VB'), ('terima', 'CD'), ('kasih', 'NN'), ('so', 'NN'), ('semoga', 'NN'), ('sukses', 'JJ')]"
